strategy,module,callable,required_inputs,available_inputs,missing_inputs,capability_bucket,reason,test_mode
pro.VolatilityExpansionStrategy,strategies.pro_layer.pro_strategy_engine,VolatilityExpansionStrategy.generate,atr|ltp_change_window|vol_z|quote_age|spread,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,bid_ask_spread|zero_volume,UNSUPPORTED_EXECUTABLE,requires option executable data not present in parquet,SKIP_PNL
pro.LiquidityImbalanceStrategy,strategies.pro_layer.pro_strategy_engine,LiquidityImbalanceStrategy.generate,bid_qty|ask_qty|spread,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,option_ltp|bid_ask_spread|market_depth,UNSUPPORTED_EXECUTABLE,requires option executable data not present in parquet,SKIP_PNL
pro.VWAPMeanReversionStrategy,strategies.pro_layer.pro_strategy_engine,VWAPMeanReversionStrategy.generate,close|vwap|rsi|quote_age|spread,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,bid_ask_spread,UNSUPPORTED_EXECUTABLE,requires option executable data not present in parquet,SKIP_PNL
pro.OptionsFlowStrategy,strategies.pro_layer.pro_strategy_engine,OptionsFlowStrategy.generate,call_oi_delta|put_oi_delta|iv_change|price_delta,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,option_ltp|open_interest|implied_volatility,UNSUPPORTED_EXECUTABLE,requires option executable data not present in parquet,SKIP_PNL
pro.TimeWindowStrategy,strategies.pro_layer.pro_strategy_engine,TimeWindowStrategy.generate,time|ltp_change_window,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,SUPPORTED_PROXY,required directional inputs are available as index OHLC proxies,DIRECTIONAL_PROXY
core.breakout_candidate_generator.build_breakout_candidate_intents,core.breakout_candidate_generator,build_breakout_candidate_intents,close|orb_high|orb_low|volume_z|regime,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,volume-dependent input is unavailable or invalid,INVALID_VOLUME_PROXY
core.vwap_candidate_generator.build_vwap_candidate_intents,core.vwap_candidate_generator,build_vwap_candidate_intents,close|vwap|vwap_slope|regime,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
core.mean_reversion_candidate_generator.build_mean_reversion_candidate_intents,core.mean_reversion_candidate_generator,build_mean_reversion_candidate_intents,close|vwap|rsi_mom|regime,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
core.zero_hero_candidate_generator.build_zero_hero_candidate_intents,core.zero_hero_candidate_generator,build_zero_hero_candidate_intents,option_ltp|expiry_context|underlying_momentum|volume_z,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,option_ltp|zero_volume,UNSUPPORTED_EXECUTABLE,requires option premium truth and expiry option context,SKIP_PNL
core.pairs_candidate_generator.build_pairs_candidate_intents,core.pairs_candidate_generator,build_pairs_candidate_intents,cross_asset_prices|spread_z|cointegration,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,,SIGNAL_ONLY,strategy emits non-trade/signal-only output,SIGNAL_ONLY
core.candidate_generator.generate_candidates,core.candidate_generator,generate_candidates,option_chain|strikes|expiry|underlying_spot,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,option_ltp|open_interest|implied_volatility|greeks,UNSUPPORTED_EXECUTABLE,runtime candidate generator requires option chain/contracts absent from parquet,SKIP_PNL
movement.opening_drive_v1,strategies.movement.opening_drive,generate_opening_drive_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
movement.opening_range_retest_v1,strategies.movement.opening_range_breakout,generate_opening_range_retest_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
movement.compression_breakout_v1,strategies.movement.compression_breakout,generate_compression_breakout_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
movement.trend_pullback_v1,strategies.movement.trend_pullback,generate_trend_pullback_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
movement.vwap_reclaim_rejection_v1,strategies.movement.vwap_reclaim,generate_vwap_reclaim_rejection_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
movement.failed_breakout_trap_v1,strategies.movement.failed_breakout_trap,generate_failed_breakout_trap_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
movement.exhaustion_reversal_v1,strategies.movement.exhaustion_reversal,generate_exhaustion_reversal_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
movement.mean_reversion_extension_v1,strategies.movement.mean_reversion_extension,generate_mean_reversion_extension_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
movement.event_volatility_expansion_v1,strategies.movement.event_volatility_expansion,generate_event_volatility_expansion_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
movement.option_pressure_confirmation_v1,strategies.movement.option_pressure,generate_option_pressure_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,option_ltp|bid_ask_spread|market_depth|zero_volume,UNSUPPORTED_EXECUTABLE,requires option executable data not present in parquet,SKIP_PNL
movement.late_day_momentum_v1,strategies.movement.late_day_momentum,generate_late_day_momentum_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,PARTIAL_PROXY,VWAP uses expanding typical-price proxy because volume is zero/missing,INVALID_VOLUME_PROXY
movement.no_trade_engine_v1,strategies.movement.no_trade_chop,generate_no_trade_candidates,StrategyContext|MovementRegimeResult|option confirmation optional,atr_proxy|close|date|high|instrument|low|open|orb_proxy|regime_proxy|rsi_proxy|time|vix|volume|vwap_proxy,zero_volume,SIGNAL_ONLY,strategy emits non-trade/signal-only output,SIGNAL_ONLY
