module_id,path,module_size_class,runtime_role,pipeline_stage,current_responsibility,audit_status,robustness_score_0_to_5,ranking_pipeline_impact,finding_id,finding_summary,evidence,failure_mode,trigger_condition,current_observed_effect,worst_plausible_effect,row_integrity_impact,trading_safety_impact,severity,likelihood,detectability,recommended_fix,why_this_fix_is_needed,expected_benefit,what_behaviour_will_change,what_could_break_or_regress,compatibility_or_migration_risk,dependent_modules,prerequisites,recommended_tests,acceptance_criteria,estimated_effort,recommended_order,fix_now_or_later,confidence_in_recommendation
.github:workflows:agentic-research-integration.yml,.github/workflows/agentic-research-integration.yml,medium,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/workflows/agentic-research-integration.yml; lines=127; tests=covered_by:0; side_effects=broker_or_market_adapter;sqlite,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,not_detected,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current broker_execution_handoff field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,11,fix_after_P1,medium
.github:workflows:ci.yml,.github/workflows/ci.yml,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",.github/workflows/ci.yml; lines=94; tests=covered_by:455; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
.github:workflows:code-excellence-gates.yml,.github/workflows/code-excellence-gates.yml,small,option_chain_or_quote,option_chain_or_quote,option_chain_or_quote,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",.github/workflows/code-excellence-gates.yml; lines=71; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,not_detected,low_or_indirect,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
.github:workflows:codeql.yml,.github/workflows/codeql.yml,small,strategy_generation,strategy_generation,strategy_generation,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/workflows/codeql.yml; lines=102; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,not_detected,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current strategy_generation field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,14,fix_after_P1,medium
.github:workflows:feed-resource-soak.yml,.github/workflows/feed-resource-soak.yml,medium,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/workflows/feed-resource-soak.yml; lines=155; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,high,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current feed_ingestion_or_freshness field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,M,15,fix_after_P1,medium
.github:workflows:feed-smoke.yml,.github/workflows/feed-smoke.yml,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,VERIFIED,1,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/workflows/feed-smoke.yml; lines=69; tests=covered_by:0; side_effects=broker_or_market_adapter,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,high,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current feed_ingestion_or_freshness field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,M,16,fix_after_P1,medium
.github:workflows:market_story_engine_v1.yml,.github/workflows/market_story_engine_v1.yml,small,observability,observability,observability,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",.github/workflows/market_story_engine_v1.yml; lines=63; tests=covered_by:1; side_effects=filesystem_io,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,not_detected,low_or_indirect,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
.github:workflows:portfolio-ci.yml,.github/workflows/portfolio-ci.yml,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/workflows/portfolio-ci.yml; lines=86; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,high,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current feed_ingestion_or_freshness field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,M,18,fix_after_P1,medium
.github:workflows:repo-forensics-pr-gate.yml,.github/workflows/repo-forensics-pr-gate.yml,small,broker_execution_handoff,broker_execution_handoff,broker_execution_handoff,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",.github/workflows/repo-forensics-pr-gate.yml; lines=40; tests=covered_by:1; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,not_detected,low_or_indirect,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
.github:workflows:tests.yml,.github/workflows/tests.yml,small,feed_ingestion_or_freshness,feed_ingestion_or_freshness,feed_ingestion_or_freshness,PARTIALLY_VERIFIED,4,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",.github/workflows/tests.yml; lines=111; tests=covered_by:1137; side_effects=none_detected_by_static_scan,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
.github:workflows:tradebot-mcp.yml,.github/workflows/tradebot-mcp.yml,small,observability,observability,observability,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/workflows/tradebot-mcp.yml; lines=77; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,not_detected,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current observability field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,21,fix_after_P1,medium
.github:workflows:upstox_v3_depth_capture_contract.yml,.github/workflows/upstox_v3_depth_capture_contract.yml,medium,observability,observability,observability,VERIFIED,1,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/workflows/upstox_v3_depth_capture_contract.yml; lines=152; tests=covered_by:0; side_effects=broker_or_market_adapter,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,direct_or_indirect,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current observability field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,22,fix_after_P1,medium
.github:workflows:verify-registry.yml,.github/workflows/verify-registry.yml,small,strategy_generation,strategy_generation,strategy_generation,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.github/workflows/verify-registry.yml; lines=28; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,not_detected,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current strategy_generation field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,23,fix_after_P1,medium
.gsd-forensics.yaml,.gsd-forensics.yaml,large,option_chain_or_quote,option_chain_or_quote,option_chain_or_quote,PARTIALLY_VERIFIED,3,none_detected,NONE,"No module-specific defect found by static audit/probes; evidence checked includes AST parse, imports, public symbols, row-surface keywords, side-effect tokens, callers, and direct-test signals.",.gsd-forensics.yaml; lines=548; tests=covered_by:9; side_effects=broker_or_market_adapter;ui_render,none_found_by_audit,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,no immediate row-integrity effect identified,direct_or_indirect,high,NONE,low,medium,No immediate module-specific fix; keep covered by wave-level contract tests if row_surface=yes or runtime_criticality=high.,"Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,none,none_identified,none_expected,,none,"stale versus fresh precedence, malformed/partial response, duplicate/out-of-order data",Specific row lifecycle invariant passes and audit evidence is updated.,XS,9999,no_fix_required,low_static_scan_only
.pre-commit-config.yaml,.pre-commit-config.yaml,small,support_or_unknown,support_or_unknown,support_or_unknown,VERIFIED,2,"Small helpers can silently mutate, drop, or misclassify rows without a contract test catching it.",F-P2-001,Many modules have no direct semantic test signal in static inventory.,.pre-commit-config.yaml; lines=9; tests=covered_by:0; side_effects=none_detected_by_static_scan,row_truth_or_observability_gap,See finding evidence or static row-surface/side-effect scan.,Audit-only observation; no production behavior changed.,defect becomes hard to detect during replay or runtime debugging,not_detected,low_or_indirect,P2,medium,low,"For P0/P1/P2-ranked modules, add focused contract tests for stale, fallback, duplicate, malformed, and deterministic ordering cases before refactoring.","Preserve row truth, deterministic ranking, and fail-closed decision boundaries.",More explainable accepted/degraded/rejected/ranked/displayed row lifecycle.,tests and logs become stricter; some legacy shape-only assumptions may fail,"callers may rely on current support_or_unknown field names, ordering, or fallback availability",schema/UI/test updates possible,,freeze fixture and current behavior before fix,semantic contract test for malformed input and explicit fail-closed behavior,Specific row lifecycle invariant passes and audit evidence is updated.,M,25,fix_after_P1,medium
