fixture_id,stage,authority_before,authority_after,reason_code
valid_pe_buy,ranking,scored,ranked,ranked
valid_pe_buy,ui_projection,ranked,actionable,actionable_ranked_row
valid_pe_buy,manual_approval,actionable,approved,approved
valid_pe_buy,order_intent,approved,broker_ready,ok
valid_pe_buy,mock_broker,broker_ready,accepted,mock_broker_accepted
valid_pe_buy,order_tracking,accepted,accepted,mock_broker_accepted
valid_pe_buy,reconciliation,accepted,reconciled,mock_broker_accepted
stale_quote,market_feed_input,none,observed,fixture_loaded
stale_quote,websocket_ingestion_contract,observed,snapshot,accepted
stale_quote,freshness_quote_truth,snapshot,non_executable,stale_option_quote
stale_quote,market_state,non_executable,market_state,market_state_constructed
stale_quote,strategy,market_state,signal,signal_emitted
stale_quote,tradebuilder,signal,trade_intent,tradebuilder_built
stale_quote,phase1,trade_intent,phase1_pass,phase1_pass
stale_quote,phase2,phase1_pass,phase2_pass,phase2_pass
stale_quote,candidate_creation,phase2_pass,phase2_pass,candidate_created
stale_quote,candidate_pool,phase2_pass,phase2_pass,pool_built
stale_quote,normalization,phase2_pass,phase2_pass,normalized
stale_quote,classification,phase2_pass,classified,classified
stale_quote,risk_executable_truth,classified,non_executable,executable_truth_blocked
stale_quote,scoring,classified,scored,setup_score
stale_quote,ranking,scored,ranked,ranked
stale_quote,ui_projection,ranked,advisory_debug,fallback_or_non_executable_debug_only
stale_quote,manual_approval,advisory_debug,approval_blocked,approval_blocked
missing_quote,market_feed_input,none,observed,fixture_loaded
missing_quote,websocket_ingestion_contract,observed,snapshot,accepted
missing_quote,freshness_quote_truth,snapshot,non_executable,missing_option_quote
missing_quote,market_state,non_executable,market_state,market_state_constructed
missing_quote,strategy,market_state,signal,signal_emitted
missing_quote,tradebuilder,signal,trade_intent,tradebuilder_built
missing_quote,phase1,trade_intent,phase1_pass,phase1_pass
missing_quote,phase2,phase1_pass,phase2_pass,phase2_pass
missing_quote,candidate_creation,phase2_pass,phase2_pass,candidate_created
missing_quote,candidate_pool,phase2_pass,phase2_pass,pool_built
missing_quote,normalization,phase2_pass,phase2_pass,normalized
missing_quote,classification,phase2_pass,classified,classified
missing_quote,risk_executable_truth,classified,non_executable,executable_truth_blocked
missing_quote,scoring,classified,scored,setup_score
missing_quote,ranking,scored,ranked,ranked
missing_quote,ui_projection,ranked,advisory_debug,fallback_or_non_executable_debug_only
missing_quote,manual_approval,advisory_debug,approval_blocked,approval_blocked
recovered_fallback_quote,market_feed_input,none,observed,fixture_loaded
recovered_fallback_quote,websocket_ingestion_contract,observed,snapshot,accepted
recovered_fallback_quote,freshness_quote_truth,snapshot,non_executable,recovered_fallback_quote
recovered_fallback_quote,market_state,non_executable,market_state,market_state_constructed
recovered_fallback_quote,strategy,market_state,signal,signal_emitted
recovered_fallback_quote,tradebuilder,signal,trade_intent,tradebuilder_built
recovered_fallback_quote,phase1,trade_intent,phase1_pass,phase1_pass
recovered_fallback_quote,phase2,phase1_pass,phase2_pass,phase2_pass
recovered_fallback_quote,candidate_creation,phase2_pass,phase2_pass,candidate_created
recovered_fallback_quote,candidate_pool,phase2_pass,phase2_pass,pool_built
recovered_fallback_quote,normalization,phase2_pass,phase2_pass,normalized
recovered_fallback_quote,classification,phase2_pass,classified,classified
recovered_fallback_quote,risk_executable_truth,classified,non_executable,executable_truth_blocked
recovered_fallback_quote,scoring,classified,scored,setup_score
recovered_fallback_quote,ranking,scored,ranked,ranked
recovered_fallback_quote,ui_projection,ranked,advisory_debug,fallback_or_non_executable_debug_only
recovered_fallback_quote,manual_approval,advisory_debug,approval_blocked,approval_blocked
excessive_spread,market_feed_input,none,observed,fixture_loaded
excessive_spread,websocket_ingestion_contract,observed,snapshot,accepted
excessive_spread,freshness_quote_truth,snapshot,non_executable,excessive_spread
excessive_spread,market_state,non_executable,market_state,market_state_constructed
excessive_spread,strategy,market_state,signal,signal_emitted
excessive_spread,tradebuilder,signal,trade_intent,tradebuilder_built
excessive_spread,phase1,trade_intent,phase1_pass,phase1_pass
excessive_spread,phase2,phase1_pass,phase2_pass,phase2_pass
excessive_spread,candidate_creation,phase2_pass,phase2_pass,candidate_created
excessive_spread,candidate_pool,phase2_pass,phase2_pass,pool_built
excessive_spread,normalization,phase2_pass,phase2_pass,normalized
excessive_spread,classification,phase2_pass,classified,classified
excessive_spread,risk_executable_truth,classified,non_executable,executable_truth_blocked
excessive_spread,scoring,classified,scored,setup_score
excessive_spread,ranking,scored,ranked,ranked
excessive_spread,ui_projection,ranked,advisory_debug,fallback_or_non_executable_debug_only
excessive_spread,manual_approval,advisory_debug,approval_blocked,approval_blocked
duplicate_market_event,market_feed_input,none,observed,fixture_loaded
duplicate_market_event,websocket_ingestion_contract,observed,deduplicated,duplicate_market_event
duplicate_market_event,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
duplicate_market_event,market_state,fresh_quote,market_state,market_state_constructed
duplicate_market_event,strategy,market_state,signal,signal_emitted
duplicate_market_event,tradebuilder,signal,trade_intent,tradebuilder_built
duplicate_market_event,phase1,trade_intent,phase1_pass,phase1_pass
duplicate_market_event,phase2,phase1_pass,phase2_pass,phase2_pass
duplicate_market_event,candidate_creation,phase2_pass,phase2_pass,candidate_created
duplicate_market_event,candidate_pool,phase2_pass,phase2_pass,pool_built
duplicate_market_event,normalization,phase2_pass,phase2_pass,normalized
duplicate_market_event,classification,phase2_pass,classified,classified
duplicate_market_event,risk_executable_truth,classified,executable,executable_truth_pass
duplicate_market_event,scoring,classified,scored,setup_score
duplicate_market_event,ranking,scored,ranked,ranked
duplicate_market_event,ui_projection,ranked,actionable,actionable_ranked_row
duplicate_market_event,manual_approval,actionable,approved,approved
duplicate_market_event,order_intent,approved,broker_ready,ok
duplicate_market_event,mock_broker,broker_ready,accepted,mock_broker_accepted
duplicate_market_event,order_tracking,accepted,accepted,mock_broker_accepted
duplicate_market_event,reconciliation,accepted,reconciled,mock_broker_accepted
out_of_order_tick,market_feed_input,none,observed,fixture_loaded
out_of_order_tick,websocket_ingestion_contract,observed,quarantined,out_of_order_tick
strategy_no_signal,market_feed_input,none,observed,fixture_loaded
strategy_no_signal,websocket_ingestion_contract,observed,snapshot,accepted
strategy_no_signal,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
strategy_no_signal,market_state,fresh_quote,market_state,market_state_constructed
strategy_no_signal,strategy,market_state,no_signal,strategy_no_signal
strategy_exception,market_feed_input,none,observed,fixture_loaded
strategy_exception,websocket_ingestion_contract,observed,snapshot,accepted
strategy_exception,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
strategy_exception,market_state,fresh_quote,market_state,market_state_constructed
strategy_exception,strategy,market_state,blocked,RuntimeError
malformed_tradebuilder_output,market_feed_input,none,observed,fixture_loaded
malformed_tradebuilder_output,websocket_ingestion_contract,observed,snapshot,accepted
malformed_tradebuilder_output,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
malformed_tradebuilder_output,market_state,fresh_quote,market_state,market_state_constructed
malformed_tradebuilder_output,tradebuilder,market_state,blocked,malformed_tradebuilder_output
phase1_hard_reject,market_feed_input,none,observed,fixture_loaded
phase1_hard_reject,websocket_ingestion_contract,observed,snapshot,accepted
phase1_hard_reject,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
phase1_hard_reject,market_state,fresh_quote,market_state,market_state_constructed
phase1_hard_reject,strategy,market_state,signal,signal_emitted
phase1_hard_reject,tradebuilder,signal,trade_intent,tradebuilder_built
phase1_hard_reject,phase1,trade_intent,rejected,phase1_hard_reject
phase2_contextual_reject,market_feed_input,none,observed,fixture_loaded
phase2_contextual_reject,websocket_ingestion_contract,observed,snapshot,accepted
phase2_contextual_reject,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
phase2_contextual_reject,market_state,fresh_quote,market_state,market_state_constructed
phase2_contextual_reject,strategy,market_state,signal,signal_emitted
phase2_contextual_reject,tradebuilder,signal,trade_intent,tradebuilder_built
phase2_contextual_reject,phase1,trade_intent,phase1_pass,phase1_pass
phase2_contextual_reject,phase2,phase1_pass,rejected,phase2_contextual_reject
phase2_downgrade_advisory,market_feed_input,none,observed,fixture_loaded
phase2_downgrade_advisory,websocket_ingestion_contract,observed,snapshot,accepted
phase2_downgrade_advisory,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
phase2_downgrade_advisory,market_state,fresh_quote,market_state,market_state_constructed
phase2_downgrade_advisory,strategy,market_state,signal,signal_emitted
phase2_downgrade_advisory,tradebuilder,signal,trade_intent,tradebuilder_built
phase2_downgrade_advisory,phase1,trade_intent,phase1_pass,phase1_pass
phase2_downgrade_advisory,phase2,phase1_pass,advisory,phase2_downgrade
phase2_downgrade_advisory,candidate_creation,advisory,advisory,candidate_created
phase2_downgrade_advisory,candidate_pool,advisory,advisory,pool_built
phase2_downgrade_advisory,normalization,advisory,advisory,normalized
phase2_downgrade_advisory,classification,advisory,classified,classified
phase2_downgrade_advisory,risk_executable_truth,classified,non_executable,executable_truth_blocked
phase2_downgrade_advisory,scoring,classified,scored,setup_score
phase2_downgrade_advisory,ranking,scored,ranked,ranked
phase2_downgrade_advisory,ui_projection,ranked,advisory_debug,fallback_or_non_executable_debug_only
phase2_downgrade_advisory,manual_approval,advisory_debug,approval_blocked,approval_blocked
duplicate_candidate_insertion,market_feed_input,none,observed,fixture_loaded
duplicate_candidate_insertion,websocket_ingestion_contract,observed,snapshot,accepted
duplicate_candidate_insertion,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
duplicate_candidate_insertion,market_state,fresh_quote,market_state,market_state_constructed
duplicate_candidate_insertion,strategy,market_state,signal,signal_emitted
duplicate_candidate_insertion,tradebuilder,signal,trade_intent,tradebuilder_built
duplicate_candidate_insertion,phase1,trade_intent,phase1_pass,phase1_pass
duplicate_candidate_insertion,phase2,phase1_pass,phase2_pass,phase2_pass
duplicate_candidate_insertion,candidate_creation,phase2_pass,phase2_pass,candidate_created
duplicate_candidate_insertion,candidate_pool,phase2_pass,phase2_pass,deduplicated
duplicate_candidate_insertion,normalization,phase2_pass,phase2_pass,normalized
duplicate_candidate_insertion,classification,phase2_pass,classified,classified
duplicate_candidate_insertion,risk_executable_truth,classified,executable,executable_truth_pass
duplicate_candidate_insertion,scoring,classified,scored,setup_score
duplicate_candidate_insertion,ranking,scored,ranked,ranked
duplicate_candidate_insertion,ui_projection,ranked,actionable,actionable_ranked_row
duplicate_candidate_insertion,manual_approval,actionable,approved,approved
duplicate_candidate_insertion,order_intent,approved,broker_ready,ok
duplicate_candidate_insertion,mock_broker,broker_ready,accepted,mock_broker_accepted
duplicate_candidate_insertion,order_tracking,accepted,accepted,mock_broker_accepted
duplicate_candidate_insertion,reconciliation,accepted,reconciled,mock_broker_accepted
candidate_mutation_reason_preservation,market_feed_input,none,observed,fixture_loaded
candidate_mutation_reason_preservation,websocket_ingestion_contract,observed,snapshot,accepted
candidate_mutation_reason_preservation,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
candidate_mutation_reason_preservation,market_state,fresh_quote,market_state,market_state_constructed
candidate_mutation_reason_preservation,strategy,market_state,signal,signal_emitted
candidate_mutation_reason_preservation,tradebuilder,signal,trade_intent,tradebuilder_built
candidate_mutation_reason_preservation,phase1,trade_intent,phase1_pass,phase1_pass
candidate_mutation_reason_preservation,phase2,phase1_pass,phase2_pass,phase2_pass
candidate_mutation_reason_preservation,candidate_creation,phase2_pass,phase2_pass,candidate_created
candidate_mutation_reason_preservation,candidate_pool,phase2_pass,phase2_pass,pool_built
candidate_mutation_reason_preservation,normalization,phase2_pass,phase2_pass,normalized
candidate_mutation_reason_preservation,classification,phase2_pass,classified,classified
candidate_mutation_reason_preservation,risk_executable_truth,classified,executable,executable_truth_pass
candidate_mutation_reason_preservation,scoring,classified,scored,setup_score
candidate_mutation_reason_preservation,ranking,scored,ranked,ranked
candidate_mutation_reason_preservation,ui_projection,ranked,actionable,actionable_ranked_row
candidate_mutation_reason_preservation,manual_approval,actionable,approved,approved
candidate_mutation_reason_preservation,order_intent,approved,broker_ready,ok
candidate_mutation_reason_preservation,mock_broker,broker_ready,accepted,mock_broker_accepted
candidate_mutation_reason_preservation,order_tracking,accepted,accepted,mock_broker_accepted
candidate_mutation_reason_preservation,reconciliation,accepted,reconciled,mock_broker_accepted
risk_limit_rejection,market_feed_input,none,observed,fixture_loaded
risk_limit_rejection,websocket_ingestion_contract,observed,snapshot,accepted
risk_limit_rejection,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
risk_limit_rejection,market_state,fresh_quote,market_state,market_state_constructed
risk_limit_rejection,strategy,market_state,signal,signal_emitted
risk_limit_rejection,tradebuilder,signal,trade_intent,tradebuilder_built
risk_limit_rejection,phase1,trade_intent,phase1_pass,phase1_pass
risk_limit_rejection,phase2,phase1_pass,phase2_pass,phase2_pass
risk_limit_rejection,candidate_creation,phase2_pass,phase2_pass,candidate_created
risk_limit_rejection,candidate_pool,phase2_pass,phase2_pass,pool_built
risk_limit_rejection,normalization,phase2_pass,phase2_pass,normalized
risk_limit_rejection,classification,phase2_pass,classified,classified
risk_limit_rejection,risk_executable_truth,classified,non_executable,executable_truth_blocked
risk_limit_rejection,scoring,classified,scored,setup_score
risk_limit_rejection,ranking,scored,ranked,ranked
risk_limit_rejection,ui_projection,ranked,advisory_debug,fallback_or_non_executable_debug_only
risk_limit_rejection,manual_approval,advisory_debug,approval_blocked,approval_blocked
executable_truth_failure,market_feed_input,none,observed,fixture_loaded
executable_truth_failure,websocket_ingestion_contract,observed,snapshot,accepted
executable_truth_failure,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
executable_truth_failure,market_state,fresh_quote,market_state,market_state_constructed
executable_truth_failure,strategy,market_state,signal,signal_emitted
executable_truth_failure,tradebuilder,signal,trade_intent,tradebuilder_built
executable_truth_failure,phase1,trade_intent,phase1_pass,phase1_pass
executable_truth_failure,phase2,phase1_pass,phase2_pass,phase2_pass
executable_truth_failure,candidate_creation,phase2_pass,phase2_pass,candidate_created
executable_truth_failure,candidate_pool,phase2_pass,phase2_pass,pool_built
executable_truth_failure,normalization,phase2_pass,phase2_pass,normalized
executable_truth_failure,classification,phase2_pass,classified,classified
executable_truth_failure,risk_executable_truth,classified,non_executable,executable_truth_blocked
executable_truth_failure,scoring,classified,scored,setup_score
executable_truth_failure,ranking,scored,ranked,ranked
executable_truth_failure,ui_projection,ranked,advisory_debug,fallback_or_non_executable_debug_only
executable_truth_failure,manual_approval,advisory_debug,approval_blocked,approval_blocked
ranking_tie,market_feed_input,none,observed,fixture_loaded
ranking_tie,websocket_ingestion_contract,observed,snapshot,accepted
ranking_tie,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
ranking_tie,market_state,fresh_quote,market_state,market_state_constructed
ranking_tie,strategy,market_state,signal,signal_emitted
ranking_tie,tradebuilder,signal,trade_intent,tradebuilder_built
ranking_tie,phase1,trade_intent,phase1_pass,phase1_pass
ranking_tie,phase2,phase1_pass,phase2_pass,phase2_pass
ranking_tie,candidate_creation,phase2_pass,phase2_pass,candidate_created
ranking_tie,candidate_pool,phase2_pass,phase2_pass,deduplicated
ranking_tie,normalization,phase2_pass,phase2_pass,normalized
ranking_tie,classification,phase2_pass,classified,classified
ranking_tie,risk_executable_truth,classified,executable,executable_truth_pass
ranking_tie,scoring,classified,scored,setup_score
ranking_tie,ranking,scored,ranked,ranked
ranking_tie,ui_projection,ranked,actionable,actionable_ranked_row
ranking_tie,manual_approval,actionable,approved,approved
ranking_tie,order_intent,approved,broker_ready,ok
ranking_tie,mock_broker,broker_ready,accepted,mock_broker_accepted
ranking_tie,order_tracking,accepted,accepted,mock_broker_accepted
ranking_tie,reconciliation,accepted,reconciled,mock_broker_accepted
empty_ranked_snapshot_ui_fallback,market_feed_input,none,observed,fixture_loaded
empty_ranked_snapshot_ui_fallback,websocket_ingestion_contract,observed,snapshot,accepted
empty_ranked_snapshot_ui_fallback,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
empty_ranked_snapshot_ui_fallback,market_state,fresh_quote,market_state,market_state_constructed
empty_ranked_snapshot_ui_fallback,strategy,market_state,signal,signal_emitted
empty_ranked_snapshot_ui_fallback,tradebuilder,signal,trade_intent,tradebuilder_built
empty_ranked_snapshot_ui_fallback,phase1,trade_intent,phase1_pass,phase1_pass
empty_ranked_snapshot_ui_fallback,phase2,phase1_pass,phase2_pass,phase2_pass
empty_ranked_snapshot_ui_fallback,candidate_creation,phase2_pass,phase2_pass,candidate_created
empty_ranked_snapshot_ui_fallback,candidate_pool,phase2_pass,phase2_pass,pool_built
empty_ranked_snapshot_ui_fallback,normalization,phase2_pass,phase2_pass,normalized
empty_ranked_snapshot_ui_fallback,classification,phase2_pass,classified,classified
empty_ranked_snapshot_ui_fallback,risk_executable_truth,classified,non_executable,executable_truth_blocked
empty_ranked_snapshot_ui_fallback,scoring,classified,scored,setup_score
empty_ranked_snapshot_ui_fallback,ranking,scored,empty_ranked_snapshot,empty_ranked_snapshot
empty_ranked_snapshot_ui_fallback,ui_projection,ranked,advisory_debug,fallback_or_non_executable_debug_only
empty_ranked_snapshot_ui_fallback,manual_approval,advisory_debug,approval_blocked,approval_blocked
approval_ranked_actionable_row,market_feed_input,none,observed,fixture_loaded
approval_ranked_actionable_row,websocket_ingestion_contract,observed,snapshot,accepted
approval_ranked_actionable_row,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
approval_ranked_actionable_row,market_state,fresh_quote,market_state,market_state_constructed
approval_ranked_actionable_row,strategy,market_state,signal,signal_emitted
approval_ranked_actionable_row,tradebuilder,signal,trade_intent,tradebuilder_built
approval_ranked_actionable_row,phase1,trade_intent,phase1_pass,phase1_pass
approval_ranked_actionable_row,phase2,phase1_pass,phase2_pass,phase2_pass
approval_ranked_actionable_row,candidate_creation,phase2_pass,phase2_pass,candidate_created
approval_ranked_actionable_row,candidate_pool,phase2_pass,phase2_pass,pool_built
approval_ranked_actionable_row,normalization,phase2_pass,phase2_pass,normalized
approval_ranked_actionable_row,classification,phase2_pass,classified,classified
approval_ranked_actionable_row,risk_executable_truth,classified,executable,executable_truth_pass
approval_ranked_actionable_row,scoring,classified,scored,setup_score
approval_ranked_actionable_row,ranking,scored,ranked,ranked
approval_ranked_actionable_row,ui_projection,ranked,actionable,actionable_ranked_row
approval_ranked_actionable_row,manual_approval,actionable,approved,approved
approval_ranked_actionable_row,order_intent,approved,broker_ready,ok
approval_ranked_actionable_row,mock_broker,broker_ready,accepted,mock_broker_accepted
approval_ranked_actionable_row,order_tracking,accepted,accepted,mock_broker_accepted
approval_ranked_actionable_row,reconciliation,accepted,reconciled,mock_broker_accepted
approval_unranked_fallback_row,market_feed_input,none,observed,fixture_loaded
approval_unranked_fallback_row,websocket_ingestion_contract,observed,snapshot,accepted
approval_unranked_fallback_row,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
approval_unranked_fallback_row,market_state,fresh_quote,market_state,market_state_constructed
approval_unranked_fallback_row,strategy,market_state,signal,signal_emitted
approval_unranked_fallback_row,tradebuilder,signal,trade_intent,tradebuilder_built
approval_unranked_fallback_row,phase1,trade_intent,phase1_pass,phase1_pass
approval_unranked_fallback_row,phase2,phase1_pass,phase2_pass,phase2_pass
approval_unranked_fallback_row,candidate_creation,phase2_pass,phase2_pass,candidate_created
approval_unranked_fallback_row,candidate_pool,phase2_pass,phase2_pass,pool_built
approval_unranked_fallback_row,normalization,phase2_pass,phase2_pass,normalized
approval_unranked_fallback_row,classification,phase2_pass,classified,classified
approval_unranked_fallback_row,risk_executable_truth,classified,non_executable,executable_truth_blocked
approval_unranked_fallback_row,scoring,classified,scored,setup_score
approval_unranked_fallback_row,ranking,scored,ranked,ranked
approval_unranked_fallback_row,ui_projection,ranked,advisory_debug,fallback_or_non_executable_debug_only
approval_unranked_fallback_row,manual_approval,advisory_debug,approval_blocked,approval_blocked
duplicate_approval_submission,market_feed_input,none,observed,fixture_loaded
duplicate_approval_submission,websocket_ingestion_contract,observed,snapshot,accepted
duplicate_approval_submission,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
duplicate_approval_submission,market_state,fresh_quote,market_state,market_state_constructed
duplicate_approval_submission,strategy,market_state,signal,signal_emitted
duplicate_approval_submission,tradebuilder,signal,trade_intent,tradebuilder_built
duplicate_approval_submission,phase1,trade_intent,phase1_pass,phase1_pass
duplicate_approval_submission,phase2,phase1_pass,phase2_pass,phase2_pass
duplicate_approval_submission,candidate_creation,phase2_pass,phase2_pass,candidate_created
duplicate_approval_submission,candidate_pool,phase2_pass,phase2_pass,pool_built
duplicate_approval_submission,normalization,phase2_pass,phase2_pass,normalized
duplicate_approval_submission,classification,phase2_pass,classified,classified
duplicate_approval_submission,risk_executable_truth,classified,executable,executable_truth_pass
duplicate_approval_submission,scoring,classified,scored,setup_score
duplicate_approval_submission,ranking,scored,ranked,ranked
duplicate_approval_submission,ui_projection,ranked,actionable,actionable_ranked_row
duplicate_approval_submission,manual_approval,actionable,approval_blocked,approval_blocked
broker_acceptance,market_feed_input,none,observed,fixture_loaded
broker_acceptance,websocket_ingestion_contract,observed,snapshot,accepted
broker_acceptance,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
broker_acceptance,market_state,fresh_quote,market_state,market_state_constructed
broker_acceptance,strategy,market_state,signal,signal_emitted
broker_acceptance,tradebuilder,signal,trade_intent,tradebuilder_built
broker_acceptance,phase1,trade_intent,phase1_pass,phase1_pass
broker_acceptance,phase2,phase1_pass,phase2_pass,phase2_pass
broker_acceptance,candidate_creation,phase2_pass,phase2_pass,candidate_created
broker_acceptance,candidate_pool,phase2_pass,phase2_pass,pool_built
broker_acceptance,normalization,phase2_pass,phase2_pass,normalized
broker_acceptance,classification,phase2_pass,classified,classified
broker_acceptance,risk_executable_truth,classified,executable,executable_truth_pass
broker_acceptance,scoring,classified,scored,setup_score
broker_acceptance,ranking,scored,ranked,ranked
broker_acceptance,ui_projection,ranked,actionable,actionable_ranked_row
broker_acceptance,manual_approval,actionable,approved,approved
broker_acceptance,order_intent,approved,broker_ready,ok
broker_acceptance,mock_broker,broker_ready,accepted,mock_broker_accepted
broker_acceptance,order_tracking,accepted,accepted,mock_broker_accepted
broker_acceptance,reconciliation,accepted,reconciled,mock_broker_accepted
broker_rejection,market_feed_input,none,observed,fixture_loaded
broker_rejection,websocket_ingestion_contract,observed,snapshot,accepted
broker_rejection,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
broker_rejection,market_state,fresh_quote,market_state,market_state_constructed
broker_rejection,strategy,market_state,signal,signal_emitted
broker_rejection,tradebuilder,signal,trade_intent,tradebuilder_built
broker_rejection,phase1,trade_intent,phase1_pass,phase1_pass
broker_rejection,phase2,phase1_pass,phase2_pass,phase2_pass
broker_rejection,candidate_creation,phase2_pass,phase2_pass,candidate_created
broker_rejection,candidate_pool,phase2_pass,phase2_pass,pool_built
broker_rejection,normalization,phase2_pass,phase2_pass,normalized
broker_rejection,classification,phase2_pass,classified,classified
broker_rejection,risk_executable_truth,classified,executable,executable_truth_pass
broker_rejection,scoring,classified,scored,setup_score
broker_rejection,ranking,scored,ranked,ranked
broker_rejection,ui_projection,ranked,actionable,actionable_ranked_row
broker_rejection,manual_approval,actionable,approved,approved
broker_rejection,order_intent,approved,broker_ready,ok
broker_rejection,mock_broker,broker_ready,rejected,mock_broker_rejected
broker_rejection,order_tracking,rejected,rejected,mock_broker_rejected
broker_rejection,reconciliation,rejected,reconciled,mock_broker_rejected
broker_timeout_before_ack,market_feed_input,none,observed,fixture_loaded
broker_timeout_before_ack,websocket_ingestion_contract,observed,snapshot,accepted
broker_timeout_before_ack,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
broker_timeout_before_ack,market_state,fresh_quote,market_state,market_state_constructed
broker_timeout_before_ack,strategy,market_state,signal,signal_emitted
broker_timeout_before_ack,tradebuilder,signal,trade_intent,tradebuilder_built
broker_timeout_before_ack,phase1,trade_intent,phase1_pass,phase1_pass
broker_timeout_before_ack,phase2,phase1_pass,phase2_pass,phase2_pass
broker_timeout_before_ack,candidate_creation,phase2_pass,phase2_pass,candidate_created
broker_timeout_before_ack,candidate_pool,phase2_pass,phase2_pass,pool_built
broker_timeout_before_ack,normalization,phase2_pass,phase2_pass,normalized
broker_timeout_before_ack,classification,phase2_pass,classified,classified
broker_timeout_before_ack,risk_executable_truth,classified,executable,executable_truth_pass
broker_timeout_before_ack,scoring,classified,scored,setup_score
broker_timeout_before_ack,ranking,scored,ranked,ranked
broker_timeout_before_ack,ui_projection,ranked,actionable,actionable_ranked_row
broker_timeout_before_ack,manual_approval,actionable,approved,approved
broker_timeout_before_ack,order_intent,approved,broker_ready,ok
broker_timeout_before_ack,mock_broker,broker_ready,timeout_unresolved,mock_timeout_before_ack
broker_timeout_before_ack,order_tracking,timeout_unresolved,timeout_unresolved,mock_timeout_before_ack
broker_timeout_before_ack,reconciliation,timeout_unresolved,unresolved,mock_timeout_before_ack
retry_after_timeout,market_feed_input,none,observed,fixture_loaded
retry_after_timeout,websocket_ingestion_contract,observed,snapshot,accepted
retry_after_timeout,freshness_quote_truth,snapshot,fresh_quote,fresh_live_quote
retry_after_timeout,market_state,fresh_quote,market_state,market_state_constructed
retry_after_timeout,strategy,market_state,signal,signal_emitted
retry_after_timeout,tradebuilder,signal,trade_intent,tradebuilder_built
retry_after_timeout,phase1,trade_intent,phase1_pass,phase1_pass
retry_after_timeout,phase2,phase1_pass,phase2_pass,phase2_pass
