fixture_id,scenario_kind,expected_outcome,actual_outcome,certified,failure_classification,semantic_hash
approval_ranked_actionable_row,approval_valid,approved,reconciled,True,NONE,6071b555d053145be0aad587f5f84a17634aa9832f4dd4fd1518fdcc8f6c3e97
approval_unranked_fallback_row,approval_unranked,approval_blocked,approval_blocked_or_advisory,False,INTENTIONAL_POLICY,88b9f075f731f758f43ac24c584dbf242e0675da2a06fca7a1321b47cc948fb6
duplicate_approval_submission,duplicate_approval,idempotent_reject,approval_blocked_or_advisory,False,INTENTIONAL_POLICY,930c1ddf3857f1168b89196fab7df24c7df649041ff8232947259b7b96a1f371
broker_acceptance,broker_accept,broker_accepted,reconciled,True,NONE,1a67367dcdb4255523e17c4f048f06b722199ad0be2a293b33a23aa9134d018f
broker_rejection,broker_reject,broker_rejected,reconciled,True,NONE,d9d653c5cd79598eb918742d634fba089f8d25a27f119b34863901191c2f2319
broker_timeout_before_ack,broker_timeout,unresolved_no_duplicate,unresolved,False,MISSING_FIXTURE,93e4e85f8e624b1623f4447b5bce1dab27740c0c23ab3f63fc6ca05bb3f0e2af
retry_after_timeout,retry_after_timeout,same_idempotency_key,unresolved,False,MISSING_FIXTURE,6be9534748e2c82bfe758f5b0be4610069f3b8d41500b4af607a2e103b0ab698
duplicate_broker_request_idempotency,duplicate_broker_request,collapsed_duplicate,unresolved,False,MISSING_FIXTURE,8e576c45873ea67ce75e66c67653c21ef68058e66b3ec2c2158e0fde1c404442
partial_fill,partial_fill,open_qty_reduced,unresolved,False,MISSING_FIXTURE,490d4a5e374362a055dbea4a90cad5e26aba5154d1a5c5c6323b944ed06c0a2c
multiple_partial_fills,multiple_partial_fills,filled,reconciled,True,NONE,21c0241355050353a3e9e040dbe6f2359ffa36679952f166e79390575cd456e7
out_of_order_order_updates,out_of_order_order_updates,monotonic_state,reconciled,True,NONE,f9ca3d4db269e43127fcc8e21b7a742f713c0449b4449a227350417bc21811cc
restart_before_reconciliation,restart_before_reconciliation,recovered_unresolved,unresolved,False,MISSING_FIXTURE,151989514a8b627836c04e23eac541325bb0888766a4bd524831132328695db5
restart_recovery_final_reconciliation,restart_recovery,reconciled_after_restart,reconciled,True,NONE,48ee1ec453148ad3dac9736799e92d5faffe6dc982ce00250c6022a3a072e6cc
